Sacred Broadsword	Broadsword
Burst Arrow	Burst Arrow
Poison Arrow	Poison Arrow
Simple Arrow	Simple Arrow
Earth Arrow	Earth Arrow
Flaming Arrow	Flaming Arrow
Flash Arrow	Flash Arrow
Shiver Arrow	Shiver Arrow
Sniper Arrow	Sniper Arrow
Piercing Bolt	Piercing Bolt
Tarsal Arrow	Tarsal Arrow
Onyx Arrow	Onyx Arrow
Vortex Bolt	Vortex Bolt
Shatterstorm Arrow	Shatterstorm Arrow
Power Bolt	Power Bolt
Drill Bolt	Drill Bolt
Envenomed Arrow	Envenomed Arrow
Crystalline Arrow	Crystalline Arrow
Iridescent Bolt	Iridescent Bolt
Infernal Bolt	Infernal Bolt
Firestorm Arrow	Firestorm Arrow
Froststorm Arrow	Froststorm Arrow
Terrastorm Arrow	Terrastorm Arrow
Stormlash Arrow	Stormlash Arrow
Diamond Arrow	Diamond Arrow
Spectral Bolt	Spectral Bolt
Arrow	Arrow
Vortex Bolt	Vortex Bolt
Onyx Arrow	Onyx Arrow
Crystalline Arrow	Crystalline Arrow
Firestorm Arrow	Firestorm Arrow
Froststorm Arrow	Froststorm Arrow
Terrastorm Arrow	Terrastorm Arrow
Envenomed Arrow	Envenomed Arrow
Spectral Bolt	Spectral Bolt
Stormlash Arrow	Stormlash Arrow
Infernal Bolt	Infernal Bolt
Iridescent Bolt	Iridescent Bolt
Diamond Arrow	Diamond Arrow
Shatterstorm Arrow	Shatterstorm Arrow
Shiver Arrow	Shiver Arrow
Earth Arrow	Earth Arrow
Axe Ring	Axe Ring
Brandons Wedding Ring	Brandon's Wedding Ring
Broken Ring Of Ending	Broken Ring of Ending
Broken Wedding Ring	Broken Wedding Ring
Club Ring	Club Ring
Crystal Ring	Crystal Ring
Death Ring	Death Ring
Dwarven Ring	Dwarven Ring
Energy Ring	Energy Ring
Engraved Wedding Ring	Engraved Wedding Ring
Family Signet Ring	Family Signet Ring
Fire Ring	Fire Ring
Frozen Claw	Frozen Claw
Gold Ring	Gold Ring
Horn Ring	Horn (Ring)
House Silversuns Signet Ring	House Silversun's Signet Ring
Life Ring	Life Ring
Mane Ring	Mane Ring
Might Ring	Might Ring
Power Ring	Power Ring
Ring Of Healing	Ring of Healing
Ring Of Secret Thoughts	Ring of Secret Thoughts
Ring Of Secret Thoughts Charged	Ring of Secret Thoughts (Charged)
Celestial Band	Celestial Band
Ring Of Wishes	Ring of Wishes
Shapeshifter Ring	Shapeshifter Ring
Star Ring	Star Ring
Stealth Ring	Stealth Ring
Suspicious Signet Ring	Suspicious Signet Ring
Sweetheart Ring	Sweetheart Ring
Sword Ring	Sword Ring
Symbol Of Sun And Sea	Symbol of Sun and Sea
Time Ring	Time Ring
Unstable Ring Of Ending	Unstable Ring of Ending
Vampires Signet Ring	Vampire's Signet Ring
Wedding Ring	Wedding Ring
Butterfly Ring	Butterfly Ring
Claw Of The Noxious Spawn	Claw of 'The Noxious Spawn'
Ring Of Blue Plasma	Ring of Blue Plasma
Ring Of Green Plasma	Ring of Green Plasma
Ring Of Orange Plasma	Ring of Orange Plasma
Ring Of Red Plasma	Ring of Red Plasma
Ring Of Temptation	Ring of Temptation
Iridescent Ring	Iridescent Ring
Ring Of Ending	Ring of Ending
Ring Of Souls	Ring of Souls
Ring Of Souls Depleted	Ring of Souls (Depleted)
Blister Ring	Blister Ring
Beetle Necklace	Beetle Necklace
Broken Amulet	Broken Amulet
Bronze Amulet	Bronze Amulet
Bronze Medal	Bronze Medal
Bronze Necklace	Bronze Necklace
Crystal Necklace	Crystal Necklace
Demonbone Amulet	Demonbone Amulet
Diamond Necklace	Diamond Necklace
Dragon Necklace	Dragon Necklace
Elven Amulet	Elven Amulet
Emerald Necklace	Emerald Necklace
Enchanted Werewolf Amulet	Enchanted Werewolf Amulet
Friendship Amulet	Friendship Amulet
Garlic Necklace	Garlic Necklace
Garnet Necklace	Garnet Necklace
Glowing Rubbish Amulet	Glowing Rubbish Amulet
Bag	Bag
Backpack Of Holding	Backpack of Holding
Backpack	Backpack
Artefact Box	Artefact Box
Artist Chest	Artist Chest
Back Basket	Back Basket
Bamboo Drawer	Bamboo Drawer
Bamboo Shelf	Bamboo Shelf
Bamboo Wardrobe	Bamboo Wardrobe
Barrel	Barrel
Barrel Brown	Barrel (Brown)
Basket	Basket
Beach Backpack	Beach Backpack
Beach Bag	Beach Bag
Birthday Backpack	Birthday Backpack
Blossom Bag	Blossom Bag
Mammoth Fur Shorts	Mammoth Fur Shorts
Legs Of Enlightenment	Legs of Enlightenment
Stormbound Legs	Stormbound Legs
Warlord Legs	Warlord Legs
Tatty Wyrm Scale Legs	Tatty Wyrm Scale Legs
Bast Skirt	Bast Skirt
Blue Legs	Blue Legs
Brass Legs	Brass Legs
Broken Tribal Faulds	Broken Tribal Faulds
Chain Legs	Chain Legs
Chocolatey Wyrm Scale Legs	Chocolatey Wyrm Scale Legs
Crown Legs	Crown Legs
Dwarven Legs	Dwarven Legs
Elven Legs	Elven Legs
Fiendish Greaves	Fiendish Greaves
Golden Legs	Golden Legs
Blue Bag	Blue Bag
Brocade Bag	Brocade Bag
Golden Bag	Golden Bag
Fur Bag	Fur Bag
Feedbag	Feedbag
Expedition Bag	Expedition Bag
Camouflage Bag	Camouflage Bag
Green Bag	Green Bag
Grey Bag	Grey Bag
Orange Bag	Orange Bag
Pirate Bag	Pirate Bag
Purple Bag	Purple Bag
Red Bag	Red Bag
Shopping Bag	Shopping Bag
Yellow Bag	Yellow Bag
Armor Rack	Armor Rack
Anniversary Backpack	Anniversary Backpack
Adventurer Backpack	Adventurer Backpack
Armor Rack	Armor Rack
Book Backpack	Book Backpack
Blue Backpack	Blue Backpack
Brocade Backpack	Brocade Backpack
Buggy Backpack	Buggy Backpack
Camouflage Backpack	Camouflage Backpack
Cake Backpack	Cake Backpack
Crown Backpack	Crown Backpack
Crystal Backpack	Crystal Backpack
Deepsea Backpack	Deepsea Backpack
Dragon Backpack	Dragon Backpack
Blossom Cabinet	Blossom Cabinet
Blossom Chest	Blossom Chest
Box	Box
Quiver	Quiver
Blue Quiver	Blue Quiver
Red Quiver	Red Quiver
Jungle Quiver	Jungle Quiver
Candy Coated Quiver	Candy-Coated Quiver
Coil Quiver	Coil Quiver
Occult Quiver	Occult Quiver
Unicorn Quiver	Unicorn Quiver
Hunter Bow	Hunter Bow
Bow Of Ruin Test	Bow of Ruin Test
Bow	Bow
Chiseled Carving Bow	Chiseled Carving Bow
Chiseled Carving Crossbow	Chiseled Carving Crossbow
Chiseled Havoc Bow	Chiseled Havoc Bow
Chiseled Havoc Crossbow	Chiseled Havoc Crossbow
Chiseled Mending Bow	Chiseled Mending Bow
Chiseled Mending Crossbow	Chiseled Mending Crossbow
Adamant Shield	Adamant Shield
Adept And Warden Staff	Adept and Warden Staff
Adept Test Weapon Test	Adept Test Weapon Test
Albino Plate	Albino Plate
Amethyst Necklace	Amethyst Necklace
Amulet Of Safekeeping	Amulet of Safekeeping
Ancient Amulet	Ancient Amulet
Ancient Amulet Quest	Ancient Amulet (Quest)
Ancient Shield	Ancient Shield
Ancient Tiara	Ancient Tiara
Archmage S Candy Hat	Archmage's Candy Hat
Archmage S Hat	Archmage's Hat
Asp Crown	Asp Crown
Asuri Talisman	Asuri Talisman
Axe	Axe
Rockfall Rune	Rockfall Rune
Purge Field Rune	Purge Field Rune
Spark Bomb Rune	Spark Bomb Rune
Spark Field Rune	Spark Field Rune
Spark Wall Rune	Spark Wall Rune
Blastwave Rune	Blastwave Rune
Blaze Bomb Rune	Blaze Bomb Rune
Blaze Field Rune	Blaze Field Rune
Blaze Wall Rune	Blaze Wall Rune
Fireburst Rune	Fireburst Rune
Grand Fireburst Rune	Grand Fireburst Rune
Radiant Bolt Rune	Radiant Bolt Rune
Frost Spike Rune	Frost Spike Rune
Lesser Arc Bolt Rune	Lesser Arc Bolt Rune
Venom Bomb Rune	Venom Bomb Rune
Arcane Plate Armor	Arcane Plate Armor
Venom Field Rune	Venom Field Rune
Venom Wall Rune	Venom Wall Rune
Stone Spike Rune	Stone Spike Rune
Gravel Rain Rune	Gravel Rain Rune
Greater Arc Bolt Rune	Greater Arc Bolt Rune
Deathburst Rune	Deathburst Rune
Stormlash Rune	Stormlash Rune
Nightshade Star	Nightshade Star
Sporewood Bow	Sporewood Bow
Infernal Gaze	Infernal Gaze
Prism Crossbow	Prism Crossbow
Tribolt Crossbow	Tribolt Crossbow
Crude Gloomforged Bow	Crude Gloomforged Bow
Crude Gloomforged Crossbow	Crude Gloomforged Crossbow
Siege Arbalest	Siege Arbalest
Battle Hymn Bow	Battle Hymn Bow
Antidote Potion	Antidote Potion
Berserk Potion	Berserk Potion
Health Potion	Health Potion
Marksman Potion	Marksman Potion
Savant Potion	Savant Potion
Small Health Potion	Small Health Potion
Strong Health Potion	Strong Health Potion
Strong Mana Potion	Strong Mana Potion
Great Dual Potion	Great Dual Potion
Great Health Potion	Great Health Potion
Great Mana Potion	Great Mana Potion
Ultimate Dual Potion	Ultimate Dual Potion
Ultimate Health Potion	Ultimate Health Potion
Ultimate Mana Potion	Ultimate Mana Potion
Supreme Health Potion	Supreme Health Potion
Abyssal Helm	Abyssal Helm
Mana Potion	Mana Potion
Antidote Potion	Antidote Potion
Ancient Kings Helm	Ancient Kings Helm
Ancient Kings Helm Enchanted	Ancient Kings Helm (Enchanted)
Ancient Legwraps	Ancient Legwraps
Asp Blade	Asp Blade
Ball Gown	Ball Gown
Banana Staff	Banana Staff
Bandana	Bandana
Battle Axe	Battle Axe
Battle Hammer	Battle Hammer
Battle Shield	Battle Shield
Belted Cape	Belted Cape
Black Candle	Black Candle
Black Jade Asp	Black Jade Asp
Black Pit Fiend	Black Pit Fiend
Belted Cape	Belted Cape
Black Candle	Black Candle
Black Jade Asp	Black Jade Asp
Black Pit Fiend	Black Pit Fiend
Battle Shield	Battle Shield
Battle Hammer	Battle Hammer
Battle Axe	Battle Axe
Banana Staff	Banana Staff
Bandana	Bandana
Ball Gown	Ball Gown
Black Shield	Black Shield
Black Skull Item	Black Skull (Item)
Bloodfang Shield	Bloodfang Shield
Bloody Tears	Bloody Tears
Blue Pit Fiend	Blue Pit Fiend
Blue Robe	Blue Robe
Ancient Kings Helm	Ancient Kings Helm
Ancient Kings Helm Enchanted	Ancient Kings Helm (Enchanted)
Ancient Legwraps	Ancient Legwraps
Asp Blade	Asp Blade
Blue Spectacles	Blue Spectacles
Blue Sphere	Blue Sphere
Bone Club	Bone Club
Bone Fiddle	Bone Fiddle
Bone Shield	Bone Shield
Bone Sword	Bone Sword
Boots Of Swiftness	Boots of Swiftness
Boots Of Waterwalking	Boots of Waterwalking
Bottled Wyrm Breath	Bottled Wyrm Breath
Bounty Talisman	Bounty Talisman
Bovine Plate	Bovine Plate
Box Brown	Box (Brown)
Golden Amulet	Golden Amulet
Golden Hyaena Pendant	Golden Hyaena Pendant
Golden Scorpion Pendant	Golden Scorpion Pendant
Greater Garlic Necklace	Greater Garlic Necklace
Jade Amulet	Jade Amulet
Jade Amulet Replica	Jade Amulet (Replica)
Jeroms Family Necklace	Jerom's Family Necklace
Kosheis Ancient Amulet	Koshei's Ancient Amulet
Lucky Clover Amulet	Lucky Clover Amulet
Note About Two Souls	Note About Two Souls
Ornamented Brooch	Ornamented Brooch
Paw Amulet	Paw Amulet
Platinum Amulet	Platinum Amulet
Protection Amulet	Protection Amulet
Rhodolith Necklace	Rhodolith Necklace
Rubbish Amulet	Rubbish Amulet
Crossbow	Crossbow
Plain Carving Crossbow	Plain Carving Crossbow
Plain Mayhem Crossbow	Plain Mayhem Crossbow
Plain Remedy Crossbow	Plain Remedy Crossbow
Valuable Carving Crossbow	Valuable Carving Crossbow
Valuable Mayhem Crossbow	Valuable Mayhem Crossbow
Valuable Remedy Crossbow	Valuable Remedy Crossbow
Modified Crossbow	Modified Crossbow
Chiseled Crossbow	Chiseled Crossbow
Chain Bolter	Chain Bolter
Ironworker Crossbow	Ironworker Crossbow
Breach Crossbow	Breach Crossbow
Gloomforged Crossbow	Gloomforged Crossbow
Royal Crossbow	Royal Crossbow
Thorn Spitter	Thorn Spitter
Crossbow Of Ruin	Crossbow of Ruin
Elvish Bow	Elvish Bow
Gloomforged Master Bow Test	Gloomforged Master Bow Test
Icicle Bow	Icicle Bow
Musicians Bow	Musician's Bow
Plain Carving Bow	Plain Carving Bow
Plain Mayhem Bow	Plain Mayhem Bow
Plain Remedy Bow	Plain Remedy Bow
Refined Bow	Refined Bow
Valuable Carving Bow	Valuable Carving Bow
Valuable Mayhem Bow	Valuable Mayhem Bow
Valuable Remedy Bow	Valuable Remedy Bow
Glimmer Bow	Glimmer Bow
Silkweaver Bow	Silkweaver Bow
Composite Hornbow	Composite Hornbow
Yols Bow	Yol's Bow
Elethriels Elemental Bow	Elethriel's Elemental Bow
Elvish Bow	Elvish Bow
Gloomforged Master Bow Test	Gloomforged Master Bow Test
Icicle Bow	Icicle Bow
Musicians Bow	Musician's Bow
Plain Carving Bow	Plain Carving Bow
Plain Mayhem Bow	Plain Mayhem Bow
Plain Remedy Bow	Plain Remedy Bow
Refined Bow	Refined Bow
Valuable Carving Bow	Valuable Carving Bow
Valuable Mayhem Bow	Valuable Mayhem Bow
Valuable Remedy Bow	Valuable Remedy Bow
Glimmer Bow	Glimmer Bow
Silkweaver Bow	Silkweaver Bow
Composite Hornbow	Composite Hornbow
Yols Bow	Yol's Bow
Elethriels Elemental Bow	Elethriel's Elemental Bow
Hive Bow	Hive Bow
Breach Bow	Breach Bow
Gloomforged Bow	Gloomforged Bow
Jungle Bow	Jungle Bow
Bow Of Ruin	Bow of Ruin
Living Vine Bow	Living Vine Bow
Bow Of Cataclysm	Bow of Cataclysm
Gilded Occult Bow	Gilded Occult Bow
Gloomforged Master Bow	Gloomforged Master Bow
Occult Bow	Occult Bow
Mane Longbow	Mane Longbow
Abyssal Bow	Abyssal Bow
Draining Abyssal Bow	Draining Abyssal Bow
Raptorial Bow	Raptorial Bow
Rending Abyssal Bow	Rending Abyssal Bow
Siphoning Abyssal Bow	Siphoning Abyssal Bow
Crystal Coin	Crystal Coin
Gold Coin	Gold Coin
Platinum Coin	Platinum Coin
Coil Crossbow	Coil Crossbow
Draining Abyssal Arbalest	Draining Abyssal Arbalest
Crimson Bow	Crimson Bow
Crimson Crossbow	Crimson Crossbow
Grand Crimson Crossbow	Grand Crimson Crossbow
Grand Crimson Bow	Grand Crimson Bow
Gloomforged Master Crossbow	Gloomforged Master Crossbow
Abyssal Arbalest	Abyssal Arbalest
Asp Crossbow	Asp Crossbow
Asp Blade	Asp Blade
Black Pearl	Black Pearl
Blue Gem	Blue Gem
Brass Armor	Brass Armor
Bursa Obscura	Bursa Obscura
Candy Chest	Candy Chest
Cave Chest	Cave Chest
Changing Backpack	Changing Backpack
Chest	Chest
Chiseled Cabinet	Chiseled Cabinet
Chiseled Chest	Chiseled Chest
Christmas Present Blue	Christmas Present (Blue)
Christmas Present Green	Christmas Present (Green)
Christmas Present Red	Christmas Present (Red)
Crate	Crate
Cupboard	Cupboard
Dead Minotaur Item	Dead Minotaur (Item)
Dead Orc Item	Dead Orc (Item)
Dwarven Stone Cabinet	Dwarven Stone Cabinet
Dwarven Stone Chest	Dwarven Stone Chest
Broken Tribal Sandals	Broken Tribal Sandals
Bunnyslippers	Bunnyslippers
Coconut Shoes	Coconut Shoes
Crocodile Boots	Crocodile Boots
Filthy Bunnyslippers	Filthy Bunnyslippers
Fish Tail Equipped	Fish Tail (Equipped)
Fish Tail Unequipped	Fish Tail (Unequipped)
Fur Boots	Fur Boots
Golden Boots	Golden Boots
Green Fiendish Slippers	Green Fiendish Slippers
Leather Boots	Leather Boots
Pair Of Silken Boots	Pair of Silken Boots
Patched Boots	Patched Boots
Pirate Boots	Pirate Boots
Sandals	Sandals
Steel Boots	Steel Boots
Energetic Backpack	Energetic Backpack
Exaltation Chest	Exaltation Chest
Expedition Backpack	Expedition Backpack
Festive Backpack	Festive Backpack
Fiendish Backpack	Fiendish Backpack
Flower Chest	Flower Chest
Fur Backpack	Fur Backpack
Galthens Satchel	Galthen's Satchel
Ghost Backpack	Ghost Backpack
Gold Pouch	Gold Pouch
Golden Backpack	Golden Backpack
Grandiose Cupboard	Grandiose Cupboard
Grandiose Gilded Chest	Grandiose Gilded Chest
Grandiose Refined Chest	Grandiose Refined Chest
Green Backpack	Green Backpack
Grey Backpack	Grey Backpack
Heart Backpack	Heart Backpack
Heart Cabinet	Heart Cabinet
Heart Chest	Heart Chest
Jewel Case	Jewel Case
Jewelled Backpack	Jewelled Backpack
Jubilee Backpack	Jubilee Backpack
Kitchen Chest	Kitchen Chest
Kraken Cabinet	Kraken Cabinet
Lilypad Backpack	Lilypad Backpack
Minotaur Backpack	Minotaur Backpack
Moon Backpack	Moon Backpack
Mushroom Backpack	Mushroom Backpack
Old And Used Backpack	Old and Used Backpack
Opulent Book Case	Opulent Book Case
Opulent Chest	Opulent Chest
Opulent Spice Rack	Opulent Spice Rack
Orange Backpack	Orange Backpack
Pannier Backpack	Pannier Backpack
Parcel	Parcel
Peppermint Backpack	Peppermint Backpack
Pile Of Bones	Pile of Bones
Pillow Backpack	Pillow Backpack
Pirate Backpack	Pirate Backpack
Pirate Treasure Chest	Pirate Treasure Chest
Present	Present
Purple Backpack	Purple Backpack
Raccoon Backpack	Raccoon Backpack
Red Backpack	Red Backpack
Santa Backpack	Santa Backpack
Sculptor Chest	Sculptor Chest
Seafarer Chest	Seafarer Chest
Skull Cabinet	Skull Cabinet
Wooden Bookcase	Wooden Bookcase
Wooden Shield	Wooden Shield
Wooden Spellbook	Wooden Spellbook
Broken Wooden Shield	Broken Wooden Shield
Treasure Chest Ornamented	Treasure Chest (Ornamented)
Treasure Chest Item	Treasure Chest (Item)
Toolbox Store	Toolbox (Store)
Steamwork Backpack	Steamwork Backpack
Stamped Parcel	Stamped Parcel
Spooky Chest	Spooky Chest
Volcanic Chest	Volcanic Chest
Warlord Chess Box	Warlord Chess Box
Winged Backpack	Winged Backpack
Wolf Backpack	Wolf Backpack
Yellow Backpack	Yellow Backpack
Wooden Cabinet	Wooden Cabinet
Vine Barrier Rune	Vine Barrier Rune
Paralyze Rune	Paralyze Rune
Barrier Wall Rune	Barrier Wall Rune
Brass Helmet	Brass Helmet
Brass Shield	Brass Shield
Breach Lamp	Breach Lamp
Breach Shield	Breach Shield
Bread	Bread
Bridal Wreath	Bridal Wreath
Brightly Burning Flames	Brightly Burning Flames
Broadsword	Broadsword
Broken Macuahuitl	Broken Macuahuitl
Broken Tribal Cuirass	Broken Tribal Cuirass
Broken Tribal Headpiece	Broken Tribal Headpiece
Broken Tribal Spear	Broken Tribal Spear
Broken Visor	Broken Visor
Rubbish Amulet	Rubbish Amulet
Rhodolith Necklace	Rhodolith Necklace
Protection Amulet	Protection Amulet
Platinum Amulet	Platinum Amulet
Ornamented Brooch	Ornamented Brooch
Paw Amulet	Paw Amulet
Lucky Clover Amulet	Lucky Clover Amulet
Note About Two Souls	Note About Two Souls
Koshei's Ancient Amulet	Koshei's Ancient Amulet
Jerom's Family Necklace	Jerom's Family Necklace
Jade Amulet (Replica)	Jade Amulet (Replica)
Greater Garlic Necklace	Greater Garlic Necklace
Jade Amulet	Jade Amulet
Golden Scorpion Pendant	Golden Scorpion Pendant
Golden Hyaena Pendant	Golden Hyaena Pendant
Golden Amulet	Golden Amulet
Mean Paladin Spear	Mean Paladin Spear
Spear	Spear
Snowball	Snowball
Small Stone	Small Stone
Throwing Cake	Throwing Cake
Throwing Knife	Throwing Knife
Throwing Star	Throwing Star
Viper Star	Viper Star
Hunting Spear	Hunting Spear
Royal Spear	Royal Spear
Enchanted Spear	Enchanted Spear
Leaf Star	Leaf Star
Steamwork Spear	Steamwork Spear
Royal Star	Royal Star
Brown Bread	Brown Bread
Brown Mushroom	Brown Mushroom
Novice Spellbook	Novice Spellbook
Spellbook	Spellbook
Spellbook Of Enlightenment	Spellbook of Enlightenment
Spellbook Of Warding	Spellbook of Warding
Spellbook Of Mind Control	Spellbook of Mind Control
Spellbook Of Lost Souls	Spellbook of Lost Souls
Spellscroll Of Prophecies	Spellscroll of Prophecies
Crude Gloomforged Spellbook	Crude Gloomforged Spellbook
Spellbook Of Dark Mysteries	Spellbook of Dark Mysteries
Snake Gods Wristguard	Snake God's Wristguard
Spellbook Of Vigilance	Spellbook of Vigilance
Book Of Lies	Book of Lies
Gloomforged Spellbook	Gloomforged Spellbook
Spellbook Of Ancient Arcana	Spellbook of Ancient Arcana
Brain In A Jar	Brain in a Jar
Shoulder Plate	Shoulder Plate
Spirit Guide	Spirit Guide
Cocoa Grimoire	Cocoa Grimoire
Creamy Grimoire	Creamy Grimoire
Mane Spellbook	Mane Spellbook
Alchemists Notepad	Alchemist's Notepad
Gloomforged Master Spellbook	Gloomforged Master Spellbook
Occult Folio	Occult Folio
Occult Tome	Occult Tome
Spellbinder Folio	Spellbinder Folio
Verdant Tome	Verdant Tome
Brown Pit Fiend	Brown Pit Fiend
Buckle	Buckle
Burial Shroud	Burial Shroud
Burnt Down Rainbow Torch	Burnt Down Rainbow Torch
Burnt Down Torch	Burnt Down Torch
Burnt Out Devourer Core	Burnt Out Devourer Core
Enchanted Blister Ring	Enchanted Blister Ring
Briarheart Ring	Briarheart Ring
Charged Briarheart Ring	Charged Briarheart Ring
Charged Ethereal Ring	Charged Ethereal Ring
Charged Spellbinder Sigil	Charged Spellbinder Sigil
Charged Unicorn Ring	Charged Unicorn Ring
Charged Verdant Ring	Charged Verdant Ring
Ethereal Ring	Ethereal Ring
Spellbinder Sigil	Spellbinder Sigil
Unicorn Ring	Unicorn Ring
Verdant Ring	Verdant Ring
Candelabrum	Candelabrum
Candlestick	Candlestick
Cape	Cape
Carapace Shield	Carapace Shield
