Pulse Sky Dancer Antihero	Sky Dancer
Solar Frost Binder Villain	Solar Frost Binder
Razor Sentinel Nemesis	Sentinel Nemesis
Plasma Light Bearer Vigilante	Plasma Light Bearer
Kinetic Blaster	Kinetic Blaster
Prism Binder Champion	Binder Champion
Iron Blade Dancer Rogue	Iron Blade Dancer
Vivid Neon Trickster Champion	Vivid Neon Trickster
Plasma Velocity Runner	Plasma Velocity Runner
Golden Elemental Conduit Host	Golden Elemental Conduit Host
Radiant Weaver	Radiant Weaver
Vivid Binder	Vivid Binder
Golden Rooftop Gadgeteer Protector	Golden Rooftop Gadgeteer
Crimson Blaster Guardian	Blaster Guardian
Frost Crawler	Frost Crawler
Ultra Ground Shaker	Ultra Ground Shaker
Lumen Caller Rogue	Caller Rogue
Vivid Runner Defender	Runner Defender
Echo Night District Shaker	Echo Night District Shaker
Neon Warehouse Bender Sentinel	Neon Warehouse Bender
Flux Screamer Vigilante	Screamer Vigilante
Phantom Ember Vanguard Scout	Phantom Ember Vanguard
Swift Subway Sentinel Rogue	Swift Subway Sentinel
Swift Living Energy Construct	Swift Living Energy Construct
Bolt Steel Brawler	Bolt Steel Brawler
Crystal Plasma Blaster Antihero	Crystal Plasma Blaster
Echo Striker Hero	Striker Hero
Chrome Warehouse Weaver	Chrome Warehouse Weaver
Radiant Wall Crawler Vigilante	Radiant Wall Crawler
Volt Light Bearer	Volt Light Bearer
Arc Ember Vanguard Scout	Arc Ember Vanguard
Azure Rooftop Brawler Vigilante	Azure Rooftop Brawler
Nova Guardian Protector	Guardian Protector
Kinetic Dual-Form Shapeshifter Sidekick	Kinetic Dual-Form Shapeshifter
Plasma Frost Archer Scout	Plasma Frost Archer
Titan Bender	Titan Bender
Vivid Frost Binder Sidekick	Vivid Frost Binder
Plasma Sky Dancer Enforcer	Plasma Sky Dancer
Turbo Iron Sentinel Nemesis	Turbo Iron Sentinel
Arc Elemental Conduit Host Hero	Arc Elemental Conduit Host
Volt Sentinel	Volt Sentinel
Titan Gadgeteer Commander	Gadgeteer Commander
Zenith Armored Power Suit Wearer	Zenith Armored Power Suit Wearer
Titan Wind Archer Rogue	Titan Wind Archer
Zenith Storm Caller	Zenith Storm Caller
Ultra Iron Sentinel	Ultra Iron Sentinel
Volt Ember Vanguard Hero	Volt Ember Vanguard
Prism Tide Controller Rogue	Prism Tide Controller
Golden Dual-Form Shapeshifter	Golden Dual-Form Shapeshifter
Golden Wielder Sentinel	Wielder Sentinel
Sonic Thunder Bruiser Sentinel	Sonic Thunder Bruiser
Crimson Dual-Form Shapeshifter Sidekick	Crimson Dual-Form Shapeshifter
Phantom Sentinel Mercenary	Sentinel Mercenary
Wild Plasma Blaster Champion	Wild Plasma Blaster
Arc Plaza Dancer	Arc Plaza Dancer
Crimson Ember Vanguard	Crimson Ember Vanguard
